track_name,popularity,singer_gender_type,year
"Aalaporaan Thamizhan",61,Duet,2020
"Aaluma Doluma",65,Male,2020
Aaruyire,70,Duet,2020
"Adiyae Azhagae - From Oru Naal Koothu",65,Male,2020
Azhagiye,61,Duet,2020
"Dandanakka (From Romeo Juliet)",46,Male,2020
"Danga Maari Oodhari",62,Male,2020
"Darling Dambakku",54,Duet,2020
"Don'u Don'u Don'u - The Don's Romance",65,Duet,2020
"Enna Solla - The New Life of Tamizh",64,Duet,2020
"Ennamo Yeadho",67,Duet,2020
Girlfriend,0,Male,2020
Guleba,57,Male,2020
Hosanna,64,Duet,2020
"Kaattrae En Vaasal (Wind) (From Rhythm)",48,Duet,2020
"Kadhal Kan Kattudhe",0,Duet,2020
"Kan Pesum Varthaigal (From 7/G Rainbow Colony)",0,Male,2020
"Kannathil Muthamittal (Female)",0,Duet,2020
"Karuthavanlaam Galeejaam (From Velaikkaran)",52,Male,2020
"Maari Thara Local - Here Comes Maari",68,Male,2020
"Marana Mass - From Petta",63,Male,2020
Maruvaarthai,0,Male,2020
"Mental Manadhil",65,Duet,2020
Mersalaayitten,60,Duet,2020
"Munbe Vaa",0,Duet,2020
"Naakka Mukka (From Kadhalil Vizhundhen)",27,Male,2020
"Naan Nee",68,Female,2020
"Nenjukkul Peidhidum",70,Male,2020
"Neruppu Da",61,Male,2020
"New York",0,Male,2020
"Oodhaa Kalaru",48,Male,2020
"Orasaadha - Madras Gig",69,Male,2020
"Otha Sollaala",70,Male,2020
"Pachai Nirame",51,Male,2020
"Selfie Pulla (From Kaththi)",0,Duet,2020
Senjitaley,66,Male,2020
"Shoot the Kuruvi - From Jil Jung Juk",51,Male,2020
Smiyai,0,Duet,2020
"Sodakku (From Thaanaa Serndha Koottam)",52,Male,2020
"Surviva (From Vivegam) (feat. Yogi B & Mali)",49,Male,2020
"Thalli Pogathey",0,Male,2020
Thangamey,0,Male,2020
"The Karma Theme - From U Turn",43,Male,2020
"Un Mele Oru Kannu",58,Duet,2020
"Uyirin Uyire",63,Duet,2020
Vaseegara,0,Female,2020
Vinmeen,68,Duet,2020
"What a Karavaad",0,Male,2020
"Why This Kolaveri Di? - The Soup of Love",67,Male,2020
Yaanji,61,Duet,2020
"Aagasam (From Soorarai Pottru)",41,Male,2021
"Anbae Peranbae",66,Duet,2021
"Andha Kanna Paathaakaa",61,Male,2021
Azhage,64,Duet,2021
"Bujji (From Jagame Thandhiram)",55,Male,2021
"Chellamma (From Doctor)",61,Duet,2021
"Dharala Prabhu Title Track",52,Male,2021
"Dhom Dhom - From Naan Sirithal",47,Male,2021
"Gaandu Kannamma",59,Male,2021
"Haiyo Haiyo (From Oh My Kadavule)",37,Male,2021
"Hey Amigo",50,Female,2021
"Hi Sonna Pothum (From Comali)",63,Male,2021
"Ilamai Thirumbudhe - From Petta",62,Male,2021
"Jigidi Killaadi",0,Male,2021
"Kaattu Payale (From Soorarai Pottru)",58,Female,2021
"Kadhal Oru Aagayam",67,male,2021
"Kanave Kanave",70,Male,2021
"Kannala Kannala - The Melting Point of Love",71,Duet,2021
Kannamma,68,Male,2021
"Kutti Story (From Master)",51,Male,2021
"Marana Mass - From Petta",63,Male,2021
Maruvaarthai,0,Male,2021
"Master the Blaster (From Master)",57,Male,2021
"Mudhal Nee Mudivum Nee Title Track (From Mudhal Nee Mudivum Nee)",69,Male,2021
"Neeyum Naanum Anbe",71,Male,2021
"Orasaadha - Madras Gig",69,Male,2021
"Oru Manam (From Dhruva Natchathiram)",59,Male,2021
"Othaiyadi Pathayila",69,Male,2021
Oxygen,0,Male,2021
"Paisa Note (From Comali)",53,Male,2021
"Pakkam Neeyum Illai",24,Male,2021
"Pallikoodam - The Farewell Song",52,Male,2021
"Poraada Poraada",46,Male,2021
"Quit Pannuda",54,Male,2021
"Rakita Rakita Rakita (From Jagame Thandhiram)",57,Duet,2021
"Sandakari Neethan (From Sangathamizhan)",57,Duet,2021
"Takkunu Takkunu - From Mr. Local",65,Male,2021
"Thaarame Thaarame",0,Male,2021
"Theendum Dhooram",12,Male,2021
"Thumbi Thullal (From Cobra)",48,Duet,2021
Unakaga,60,Male,2021
"Unna Nenachu (From Psycho (Tamil))",61,Male,2021
"Vaathi Coming",66,Male,2021
"Veyyon Silli (From Soorarai Pottru)",52,Male,2021
"Vilambara Idaiveli - From Imaikkaa Nodigal",62,Duet,2021
"Yaar Azhaippadhu - From Maara",56,Male,2021
"Yaen Ennai Pirindhaai",55,Male,2021
"Yennai Maatrum Kadhale",0,Male,2021
Aaruyire,70,Duet,2022
"Adi Penne (Duet) - From Naam Series",67,Duet,2022
"Adiye - From Bachelor",71,Male,2022
"Anbae Anbae",62,Male,2022
"Arabic Kuthu - Halamithi Habibo (From Beast)",70,Duet,2022
"Bae (From Don)",64,Male,2022
"Beast Mode (From Beast)",64,Male,2022
"Dippam Dappam (From Kaathuvaakula Rendu Kaadhal)",67,Male,2022
"Enakenna Yaarum Illaye (From Aakko)",63,Male,2022
"Enkeyoo Partha",70,Male,2022
"Hukum - Thalaivar Alappara - Tamil (From Jailer)",67,Male,2022
"Jimikki Ponnu",66,Duet,2022
"Kaattrae En Vaasal - Wind",64,Duet,2022
"Kadhal Sadugudu",66,Male,2022
"Katchi Sera - From Think Indie",74,Male,2022
"Lokiverse - Background Score",65,Male,2022
"Maari Thara Local - Here Comes Maari",68,Male,2022
Mallipoo,65,Male,2022
"Mayakkama Kalakkama (From Thiruchitrambalam)",65,Male,2022
"Megham Karukatha (From Thiruchitrambalam)",65,Male,2022
Melliname,68,Male,2022
"Minnalai Pidithu",67,Male,2022
"Naa Ready (From Leo)",69,Male,2022
"Oh Penne",68,Male,2022
"Once Upon a Time",62,Male,2022
"Ordinary Person (From Leo)",66,Male,2022
"Oru Maalai",65,Male,2022
"Otha Sollaala",70,Male,2022
"Pachai Nirame",63,Male,2022
Poongatrile,64,Duet,2022
"Ranjithame (From Varisu)",66,Duet,2022
"Rendu Kaadhal (From Kaathuvaakula Rendu Kaadhal)",63,Duet,2022
"Thee Thalapathy (From Varisu)",63,Male,2022
"Thenmozhi (From Thiruchitrambalam)",64,Male,2022
"Vaa Vaathi",68,Female,2022
"Vaathi Coming",66,Male,2022
"Vikram - Title Track",64,Male,2022
"Yaanji - From Vikram Vedha",71,Duet,2022
"Adheeraa (From Cobra)",59,Male,2023
"Adi Penne (Duet) - From Naam Series",67,Duet,2023
"Adiye - From Bachelor",71,Male,2023
"Arabic Kuthu - Halamithi Habibo (From Beast)",70,Duet,2023
"Bae (From Don)",64,Male,2023
"Beast Mode (From Beast)",64,Male,2023
"Bimbilikki Pilapi (From Prince )(Tamil)",57,Male,2023
"Bullet Song (From The Warriorr )(Tamil)",51,Duet,2023
Chellamma,50,Duet,2023
"Dippam Dappam (From Kaathuvaakula Rendu Kaadhal)",67,Male,2023
"Ennai Vittu",50,Male,2023
"Evanda Enakku Custody",54,Male,2023
"Eyy Beta Idhu En Patta (From Pushpa - The Rise)(Tamil)",43,Male,2023
"Jalabulajangu (From Don)",60,Male,2023
"Jimikki Ponnu",66,Duet,2023
"Jolly O Gymkhana (From Beast)",61,Male,2023
"Kanja Poovu Kannala (From Viruman)",60,Male,2023
"Life of Pazham (From Thiruchitrambalam)",56,Male,2023
"Lokiverse - Background Score",65,Male,2023
Maacho,57,Duet,2023
"Madura Veeran",46,Duet,2023
Mayakirriye,56,Male,2023
"Missing Me",51,Male,2023
"Naan Pizhai (From Kaathuvaakula Rendu Kaadhal)",61,Duet,2023
"Naanga Vera Maari (From Valimai)",48,Male,2023
"Oo Solriya Oo Oo Solriya (From Pushpa - The Rise)(Tamil)",60,Female,2023
"Otha Thamarai - Original Soundtrack",50,Male,2023
"Pablo Sandhanam - Background Score",56,Male,2023
"Pacha Elai",44,Male,2023
"Pacha Elai (From Love Today)",51,Male,2023
"Pathala Pathala (From Vikram)",60,Male,2023
"Private Party",45,Duet,2023
"Private Party (From Don)",58,Duet,2023
"Ra Ra Reddy I Am Ready",60,Female,2023
"Ranjithame (From Varisu)",66,Duet,2023
"Rolex Theme - Background Score",61,Male,2023
"Saami Saami (From Pushpa - The Rise)(Tamil)",51,Female,2023
"Sandhanam Theme - Background Score",55,Male,2023
"So Baby (From Doctor)",58,Male,2023
"Soul of Doctor (Theme) [From Doctor]",54,Male,2023
"Srivalli (From Pushpa - The Rise)(Tamil)",55,Male,2023
"Summa Surrunu (From Etharkkum Thunindhavan)",45,Duet,2023
"Thaai Kelavi (From Thiruchitrambalam)",60,Male,2023
"Thee Thalapathy (From Varisu)",63,Male,2023
"Thumbi Thullal (From Cobra)",48,Duet,2023
"Two Two Two (From Kaathuvaakula Rendu Kaadhal)",56,Duet,2023
"Vaathi Coming",66,Male,2023
"Vikram - Title Track",64,Male,2023
"Yaar Azhaippadhu",61,Male,2023
"Aasa Kooda - From Think Indie",78,Duet,2024
"Aasa Orave",59,Male,2024
"Achacho - From Aranmanai 4",67,Female,2024
"Adangaatha Asuran",61,Male,2024
"Arakkonam Style",37,Male,2024
Badass,60,Male,2024
"Bloody Sweet",54,Male,2024
Chillanjirukkiye,61,Male,2024
"Chinna Chinna Kangal",46,Male,2024
"Clean Shot",55,Male,2024
"Delta Kalyanam",45,Male,2024
"Dheema (From Love Insurance Kompany)",68,Male,2024
"Dippam Dappam (From Kaathuvaakula Rendu Kaadhal)",67,Male,2024
"Ezhutha Kadhaiyo",62,Male,2024
"Fear Song [TAMIL]",55,Male,2024
"Golden Sparrow (From Nilavuku En Mel Ennadi Kobam)",73,Male,2024
Hayyoda,56,Duet,2024
"Hey Minnale (From Amaran) (Tamil)",71,Duet,2024
"Hukum - Thalaivar Alappara",67,Male,2024
"Hunter Vantaar",59,Male,2024
"I'm Scared (From Leo)",57,Male,2024
Jujubee,60,Duet,2024
"Kaathu Mela - From Think Indie",62,Male,2024
Kaavaalaa,58,Duet,2024
Kadharalz,59,Male,2024
"Kangal Edho",56,Duet,2024
"Katchi Sera - From Think Indie",74,Male,2024
Kolladhey,51,Female,2024
Maamadura,56,Female,2024
"Makkamishi - From Brother",64,Male,2024
Manasilaayo,63,Duet,2024
Matta,60,Male,2024
"Minikki Minikki",58,Female,2024
"Naa Ready",65,Male,2024
"Oh Raaya",53,Male,2024
"Ordinary Person (From Leo)",66,Male,2024
Paaraa,47,Male,2024
"Paiya Dei - From Think Indie",70,Male,2024
Paththavaikkum,49,Duet,2024
"Railin Oligal",51,Female,2024
Soodaana,54,Female,2024
Spark,47,Male,2024
"Thaensudare - From Lover",64,Duet,2024
"Unakku Thaan",65,Male,2024
"Usura Uruvi",54,Male,2024
"Uyirey (From Amaran) (Tamil)",61,Duet,2024
"Vennilavu Saaral (From Amaran) (Tamil)",58,Duet,2024
"Water Packet",58,Duet,2024
"Whistle Podu",48,Male,2024
"Yaaro Ivan Yaaro",53,Male,2024
